To Date,Battery (%),R. Humidity (%),Light (Lux),PM₂.₅ (µg/m³ ),PM₁₀ (µg/m³ ),PM₁ (µg/m³ ),PM₁₀₀ (µg/m³ ),Temperature (°C),UV ( Index),Wind Direction (degree),Wind Speed (m/s)
1/4/2022 1:00:00,100.00,34.82,4.00,36.42,66.01,17.57,90.03,17.70,0.02,169.06,2.28
1/4/2022 2:00:00,100.00,34.20,4.00,34.18,61.91,16.48,85.67,17.35,0.02,220.88,0.64
1/4/2022 3:00:00,100.00,35.52,4.00,37.20,72.18,16.63,102.59,16.64,0.02,264.61,0.65
1/4/2022 4:00:00,100.00,38.52,4.00,38.86,74.11,17.98,105.41,15.43,0.02,203.24,0.30
1/4/2022 5:00:00,100.00,39.08,4.00,36.60,64.71,17.92,88.20,14.95,0.02,163.42,1.95
1/4/2022 6:00:00,100.00,38.42,4.00,37.04,69.51,17.11,97.07,14.43,0.02,155.34,2.37
1/4/2022 7:00:00,95.00,39.61,4.00,42.67,85.79,18.23,121.73,13.58,0.02,176.71,2.23
1/4/2022 8:00:00,84.00,40.38,4.00,46.60,101.08,18.66,145.85,12.96,0.02,172.38,2.54
1/4/2022 9:00:00,78.33,40.61,73.58,86.19,236.40,27.64,361.41,12.87,0.02,163.08,1.44
1/4/2022 10:00:00,80.17,39.82,"3,110.80",46.50,102.32,19.69,153.13,13.27,0.32,181.39,1.85
1/4/2022 11:00:00,96.50,36.28,"10,428.99",48.73,108.77,20.60,158.35,15.70,0.49,169.84,1.57
1/4/2022 12:00:00,100.00,29.81,"36,798.42",44.99,90.15,21.64,126.59,20.85,0.05,161.80,0.89
1/4/2022 13:00:00,100.00,26.25,"63,424.96",44.78,80.18,22.99,110.14,23.78,0.05,153.64,1.44
1/4/2022 14:00:00,100.00,24.74,"67,607.86",44.25,82.57,22.41,118.89,24.88,0.13,119.73,2.12
1/4/2022 15:00:00,100.00,23.29,"64,404.47",41.82,79.89,20.68,117.08,25.99,0.14,140.48,2.12
1/4/2022 16:00:00,100.00,22.68,"62,381.99",40.22,69.63,20.40,96.68,26.42,0.15,148.28,2.31
1/4/2022 17:00:00,100.00,21.16,"16,526.23",37.84,66.08,19.89,92.44,26.68,0.46,119.02,2.27
1/4/2022 18:00:00,100.00,18.38,"13,054.52",35.05,57.68,18.81,79.44,28.53,0.50,129.81,1.68
1/4/2022 19:00:00,100.00,18.13,"15,273.20",32.88,50.77,18.25,66.11,27.99,0.28,205.59,1.06
1/4/2022 20:00:00,100.00,23.21,"7,716.38",38.62,70.09,19.80,99.35,26.37,0.36,163.37,1.95
1/4/2022 21:00:00,100.00,32.99,"2,092.26",39.32,83.09,18.03,115.99,22.64,0.37,184.00,2.93
1/4/2022 22:00:00,100.00,38.13,35.57,32.31,61.88,15.53,87.14,20.90,0.02,211.48,1.25
1/4/2022 23:00:00,100.00,49.36,4.00,32.28,118.43,12.73,202.44,17.85,0.02,203.30,2.00
2/4/2022 0:00:00,100.00,44.53,1.33,19.81,32.35,10.77,42.56,17.99,0.02,161.83,2.05
2/4/2022 1:00:00,100.00,49.59,2.00,28.33,41.37,14.16,49.42,17.02,0.02,196.05,0.92
2/4/2022 2:00:00,100.00,46.08,0.00,27.28,43.38,14.33,55.71,17.26,0.02,267.19,0.99
2/4/2022 3:00:00,100.00,46.68,1.33,29.52,60.51,13.14,88.98,16.81,0.02,237.96,1.00
2/4/2022 4:00:00,100.00,47.07,2.00,27.28,52.38,12.82,74.44,16.29,0.02,188.36,0.76
2/4/2022 5:00:00,100.00,52.60,2.67,27.04,45.45,14.32,61.00,14.66,0.02,208.46,0.46
2/4/2022 6:00:00,100.00,52.29,4.00,26.30,42.23,12.45,55.68,13.94,0.02,192.28,0.48
2/4/2022 7:00:00,92.00,51.63,4.00,127.80,461.57,24.51,673.62,14.27,0.02,181.25,1.27
2/4/2022 8:00:00,83.33,53.38,4.00,70.70,223.64,17.88,346.84,14.14,0.02,162.50,1.25
2/4/2022 9:00:00,78.50,54.95,83.80,29.80,55.16,13.91,80.41,13.48,0.02,177.64,0.79
2/4/2022 10:00:00,79.17,55.58,"2,877.22",32.18,68.36,14.96,105.52,14.02,0.36,227.01,0.93
2/4/2022 11:00:00,94.83,48.78,"9,457.49",31.51,62.20,14.92,90.07,16.14,0.45,162.77,1.38
2/4/2022 12:00:00,100.00,42.56,"38,618.86",30.78,58.56,14.29,82.34,18.63,0.03,134.13,2.01
2/4/2022 13:00:00,100.00,39.32,"66,084.58",31.45,62.92,14.40,89.03,20.47,0.05,146.01,2.36
2/4/2022 14:00:00,100.00,33.12,"63,508.42",29.73,52.35,14.39,71.25,23.90,0.11,152.90,1.82
2/4/2022 15:00:00,100.00,28.05,"60,023.87",27.27,57.68,13.48,88.85,24.97,0.12,131.82,2.65
2/4/2022 16:00:00,100.00,23.25,"67,661.16",23.38,42.33,12.53,62.28,26.39,0.16,115.64,2.09
2/4/2022 17:00:00,100.00,23.91,"21,980.88",22.98,40.35,12.39,58.39,26.86,0.34,124.71,2.17
2/4/2022 18:00:00,100.00,23.86,"15,820.92",21.17,39.35,10.99,57.71,26.55,0.51,107.34,2.59
2/4/2022 19:00:00,100.00,22.70,"9,885.91",18.79,31.48,10.66,43.99,27.24,0.64,138.37,1.69
2/4/2022 20:00:00,100.00,23.33,"8,222.76",18.14,31.50,9.57,45.05,26.49,0.68,105.05,2.18
2/4/2022 21:00:00,100.00,25.54,"3,787.29",16.29,28.67,8.71,39.87,24.47,0.31,132.84,1.85
2/4/2022 22:00:00,100.00,28.15,30.67,15.85,26.58,8.80,35.64,22.58,0.02,187.36,1.60
2/4/2022 23:00:00,100.00,35.33,3.33,16.15,27.47,8.86,37.72,20.05,0.02,199.86,2.00
3/4/2022 0:00:00,100.00,36.13,4.00,14.51,22.36,7.22,29.08,18.49,0.02,183.88,1.74
3/4/2022 1:00:00,100.00,41.56,3.33,15.06,24.18,8.52,32.13,17.54,0.02,202.65,1.51
3/4/2022 2:00:00,100.00,46.74,4.00,18.37,34.21,9.54,48.47,16.95,0.02,201.43,1.49
3/4/2022 3:00:00,100.00,49.40,4.00,18.97,34.73,10.94,48.80,16.61,0.02,190.29,1.64
3/4/2022 4:00:00,100.00,50.84,4.00,18.60,32.31,10.96,44.08,16.33,0.02,205.89,1.55
3/4/2022 5:00:00,100.00,52.50,4.00,18.86,32.70,10.21,45.90,16.04,0.02,178.64,1.76
3/4/2022 6:00:00,100.00,55.51,4.00,19.54,31.59,10.42,42.28,15.20,0.02,139.37,1.59
3/4/2022 7:00:00,99.00,59.89,4.00,21.88,37.12,12.58,50.72,14.64,0.02,198.43,1.43
3/4/2022 8:00:00,88.83,63.49,4.00,25.71,43.13,15.61,58.73,14.34,0.02,205.13,1.70
3/4/2022 9:00:00,81.17,65.92,90.08,26.95,42.86,17.16,57.14,13.96,0.02,137.28,1.81
3/4/2022 10:00:00,81.50,67.55,"2,967.56",29.64,46.85,19.85,62.14,14.05,0.36,131.76,1.72
3/4/2022 11:00:00,95.50,60.11,"9,864.24",34.16,82.89,19.39,129.73,16.38,0.47,171.57,1.24
3/4/2022 12:00:00,100.00,50.95,"39,578.65",29.35,56.64,17.01,79.93,19.15,0.03,153.27,1.88
3/4/2022 13:00:00,100.00,45.20,"64,748.80",27.11,52.32,16.03,73.69,20.87,0.12,138.29,2.43
3/4/2022 14:00:00,100.00,39.57,"60,695.85",24.66,42.67,15.13,56.81,22.06,0.11,123.64,2.93
3/4/2022 15:00:00,100.00,29.99,"52,362.32",21.05,33.39,13.22,44.15,24.97,0.16,145.01,2.09
3/4/2022 16:00:00,100.00,24.86,"61,659.87",19.75,28.90,12.67,37.94,26.82,0.18,151.99,1.82
3/4/2022 17:00:00,100.00,25.34,"16,552.71",20.70,30.88,14.03,40.82,26.52,0.71,152.88,1.54
3/4/2022 18:00:00,100.00,24.14,"17,290.12",22.61,36.67,15.22,52.76,27.33,0.33,148.08,2.08
3/4/2022 19:00:00,100.00,25.05,"15,639.12",21.58,33.17,14.59,45.44,25.98,0.32,141.64,1.64
3/4/2022 20:00:00,100.00,28.50,"7,668.30",19.80,31.60,12.80,42.16,23.74,0.44,125.62,0.79
3/4/2022 21:00:00,100.00,39.37,"1,709.10",29.65,53.85,19.53,74.33,21.58,0.36,224.47,3.21
3/4/2022 22:00:00,100.00,53.39,47.84,31.91,58.25,20.50,80.87,18.52,0.02,172.11,3.35
3/4/2022 23:00:00,100.00,64.86,3.00,30.08,42.63,21.59,53.74,16.17,0.02,194.48,0.83
4/4/2022 0:00:00,100.00,62.79,1.33,29.23,42.71,21.86,57.11,16.16,0.02,176.89,0.77
4/4/2022 1:00:00,100.00,56.90,0.00,27.76,49.18,19.83,73.66,16.31,0.02,238.93,0.89
4/4/2022 2:00:00,100.00,55.57,0.67,24.44,32.66,18.20,40.40,16.02,0.02,202.58,0.99
4/4/2022 3:00:00,100.00,56.44,0.67,26.06,41.47,18.47,60.13,15.74,0.02,191.94,0.84
4/4/2022 4:00:00,100.00,54.26,2.00,24.56,32.42,18.31,40.11,15.69,0.02,186.58,0.99
4/4/2022 5:00:00,100.00,55.68,4.00,24.89,33.57,18.29,42.05,15.08,0.02,183.61,0.79
4/4/2022 6:00:00,99.67,56.83,4.00,24.61,32.33,18.59,39.64,14.41,0.02,197.13,0.88
4/4/2022 7:00:00,90.83,54.78,4.00,24.24,33.43,18.75,43.41,14.10,0.02,225.67,0.96
4/4/2022 8:00:00,81.50,55.80,4.00,26.32,42.23,18.80,61.77,13.62,0.02,197.03,0.67
4/4/2022 9:00:00,77.33,56.53,95.74,26.56,39.99,19.25,55.35,13.37,0.02,156.70,0.80
4/4/2022 10:00:00,83.00,55.06,"3,463.06",24.93,34.62,18.65,43.84,14.13,0.28,128.12,1.58
4/4/2022 11:00:00,97.17,51.04,"11,083.16",25.52,34.07,19.18,41.62,15.96,0.46,132.38,1.89
4/4/2022 12:00:00,100.00,44.15,"38,142.32",24.48,35.54,18.39,46.06,18.86,0.10,155.98,1.96
4/4/2022 13:00:00,100.00,38.36,"67,607.51",24.85,39.15,18.31,52.69,20.89,0.05,133.51,2.51
4/4/2022 14:00:00,100.00,29.47,"62,276.21",21.49,32.95,15.90,44.73,23.07,0.09,138.02,2.30
4/4/2022 15:00:00,100.00,25.13,"42,035.77",22.75,39.17,16.15,57.52,25.31,0.12,183.35,1.93
4/4/2022 16:00:00,100.00,27.37,"38,519.14",24.70,34.09,18.01,42.93,25.11,0.15,193.57,1.43
4/4/2022 17:00:00,100.00,25.93,"23,574.99",26.17,36.61,18.48,45.78,26.09,0.25,254.30,2.21
4/4/2022 18:00:00,100.00,25.12,"17,509.70",27.12,40.82,18.81,54.40,26.05,0.33,195.33,1.65
4/4/2022 19:00:00,100.00,25.28,"12,635.42",27.08,40.15,18.02,51.58,25.39,0.56,154.26,1.02
4/4/2022 20:00:00,100.00,24.85,"9,379.55",27.52,44.37,17.64,59.40,25.09,0.59,114.69,2.12
4/4/2022 21:00:00,100.00,26.89,"3,458.11",27.26,46.61,17.80,65.70,24.19,0.33,133.60,1.19
4/4/2022 22:00:00,100.00,38.97,47.89,30.59,48.70,22.03,63.72,21.30,0.02,168.08,2.60
4/4/2022 23:00:00,100.00,40.95,3.33,27.44,39.23,20.78,50.38,19.78,0.02,164.77,3.12
5/4/2022 0:00:00,100.00,42.92,4.00,26.53,37.03,20.42,46.93,18.72,0.02,173.36,2.07
5/4/2022 1:00:00,100.00,45.09,3.33,26.22,35.59,19.54,44.61,17.68,0.02,210.11,0.99
5/4/2022 2:00:00,100.00,46.37,4.00,26.86,42.43,19.41,59.04,16.98,0.02,206.78,0.76
5/4/2022 3:00:00,100.00,46.46,4.00,26.72,36.10,19.58,45.10,16.62,0.02,130.27,0.55
5/4/2022 4:00:00,100.00,46.58,4.00,24.80,32.46,18.72,40.05,16.41,0.02,146.36,0.81
5/4/2022 5:00:00,100.00,43.19,4.00,22.68,28.62,16.88,34.21,16.28,0.02,116.21,1.59
5/4/2022 6:00:00,100.00,42.62,3.33,21.95,27.44,16.76,32.13,15.84,0.02,94.41,1.77
5/4/2022 7:00:00,95.50,41.30,1.33,20.47,26.71,15.03,32.94,15.27,0.02,136.42,0.99
5/4/2022 8:00:00,84.67,39.05,4.00,19.71,26.64,14.91,33.38,15.23,0.02,162.83,1.00
5/4/2022 9:00:00,79.33,38.15,102.15,19.79,27.34,14.82,34.44,15.10,0.02,121.78,1.28
5/4/2022 10:00:00,81.83,37.12,"3,082.42",20.94,27.55,14.73,33.76,15.73,0.37,91.89,2.35
5/4/2022 11:00:00,96.17,35.81,"10,514.28",22.17,34.86,15.32,48.39,17.14,0.47,133.18,1.91
5/4/2022 12:00:00,100.00,32.72,"42,111.80",23.74,35.09,16.92,45.51,20.13,0.03,171.48,2.01
5/4/2022 13:00:00,100.00,29.44,"65,610.89",24.34,41.60,16.71,58.56,21.74,0.09,138.08,2.42
5/4/2022 14:00:00,100.00,25.03,"58,950.19",23.91,35.85,16.56,47.18,23.10,0.06,125.80,2.84
5/4/2022 15:00:00,100.00,20.08,"47,099.57",21.54,29.78,15.58,38.14,25.49,0.16,161.50,2.41
5/4/2022 16:00:00,100.00,16.61,"37,438.40",20.10,27.88,14.56,36.54,26.63,0.51,146.83,2.27
5/4/2022 17:00:00,100.00,14.89,"9,485.30",19.12,26.11,14.03,34.58,27.80,1.05,132.27,2.29
5/4/2022 18:00:00,100.00,15.71,"8,426.18",22.85,35.53,16.31,52.46,27.17,0.97,150.64,2.38
5/4/2022 19:00:00,100.00,15.36,"7,366.53",21.31,36.03,15.22,53.21,26.98,0.80,119.05,2.18
5/4/2022 20:00:00,100.00,15.59,"6,110.95",18.63,24.75,13.85,31.90,27.34,0.67,141.74,1.32
5/4/2022 21:00:00,100.00,17.23,"3,186.08",24.56,30.38,17.89,36.50,25.81,0.41,147.36,0.69
5/4/2022 22:00:00,100.00,21.72,79.07,27.99,40.62,20.12,53.19,23.45,0.02,162.42,1.16
5/4/2022 23:00:00,100.00,31.52,4.00,25.37,45.30,16.54,64.66,20.74,0.02,162.73,2.29
6/4/2022 0:00:00,100.00,34.59,0.00,22.31,32.80,16.01,43.44,19.35,0.02,211.16,1.20
6/4/2022 1:00:00,100.00,35.55,0.00,21.14,27.40,15.18,33.43,18.34,0.02,176.07,1.09
6/4/2022 2:00:00,100.00,33.67,0.00,18.81,24.17,13.85,29.56,17.57,0.02,166.70,1.20
6/4/2022 3:00:00,100.00,33.96,0.00,18.75,27.33,12.78,35.63,17.02,0.02,181.61,1.07
6/4/2022 4:00:00,100.00,35.40,0.00,36.45,46.32,24.38,56.91,16.40,0.02,102.67,0.42
6/4/2022 5:00:00,100.00,38.50,0.67,28.65,36.12,20.46,43.55,15.84,0.02,148.56,0.65
6/4/2022 6:00:00,100.00,41.17,0.00,28.93,35.69,20.64,42.34,15.11,0.02,213.74,0.52
6/4/2022 7:00:00,96.50,40.37,0.67,37.20,43.33,25.65,48.77,14.37,0.02,134.78,0.90
6/4/2022 8:00:00,84.83,39.59,4.00,20.32,28.52,14.55,36.98,13.85,0.02,177.90,0.95
6/4/2022 9:00:00,78.50,39.12,108.94,21.72,30.98,15.00,39.77,14.06,0.02,176.98,0.97
6/4/2022 10:00:00,80.00,39.07,"3,093.39",30.77,47.25,19.44,64.64,14.48,0.42,177.79,0.84
6/4/2022 11:00:00,96.17,35.77,"10,737.01",34.40,49.40,22.11,63.70,17.01,0.45,133.25,1.73
6/4/2022 12:00:00,100.00,32.10,"42,130.74",27.12,42.84,17.63,56.80,19.91,0.02,143.90,1.89
6/4/2022 13:00:00,100.00,28.49,"65,592.14",27.21,42.59,18.12,56.52,22.75,0.06,163.87,1.86
6/4/2022 14:00:00,100.00,24.45,"58,772.57",26.93,42.56,18.35,58.23,24.78,0.09,158.79,2.05
6/4/2022 15:00:00,100.00,19.47,"47,741.71",22.86,34.87,16.13,48.39,26.50,0.13,133.93,1.95
6/4/2022 16:00:00,100.00,18.66,"38,688.64",22.68,36.18,15.56,51.72,27.30,0.49,158.32,2.35
6/4/2022 17:00:00,100.00,16.94,"19,557.96",21.98,32.90,15.63,45.82,27.58,0.47,153.81,1.80
6/4/2022 18:00:00,100.00,14.93,"17,009.73",17.96,24.47,12.48,31.83,27.25,0.55,163.11,1.92
6/4/2022 19:00:00,100.00,15.62,"17,361.67",20.20,28.71,14.48,38.03,27.40,0.30,188.68,0.96
6/4/2022 20:00:00,100.00,19.52,"12,004.22",21.35,31.34,15.07,41.49,26.18,0.38,143.78,1.33
6/4/2022 21:00:00,100.00,22.07,"2,722.29",21.26,35.17,14.25,48.84,24.63,0.31,191.50,1.28
6/4/2022 22:00:00,100.00,32.57,49.39,28.99,49.03,19.35,67.73,21.44,0.02,196.71,1.29
6/4/2022 23:00:00,100.00,31.54,4.00,23.99,40.81,15.50,57.04,20.08,0.03,190.39,1.71
7/4/2022 0:00:00,100.00,31.20,4.00,22.41,33.21,14.17,43.50,18.75,0.03,190.30,1.73
7/4/2022 1:00:00,100.00,29.67,4.00,20.78,29.89,14.04,38.46,17.70,0.02,208.05,1.32
7/4/2022 2:00:00,100.00,29.22,4.00,23.26,38.26,14.81,52.67,17.30,0.02,209.56,1.61
7/4/2022 3:00:00,100.00,27.92,4.00,26.03,48.43,14.79,70.19,16.78,0.02,182.68,1.72
7/4/2022 4:00:00,100.00,28.77,4.00,26.05,48.50,14.82,70.65,16.51,0.02,138.96,1.90
7/4/2022 5:00:00,100.00,31.17,4.00,26.30,46.28,14.72,66.40,15.62,0.02,144.35,1.12
7/4/2022 6:00:00,99.50,33.95,4.00,26.07,44.44,14.55,63.27,14.51,0.02,179.70,0.88
7/4/2022 7:00:00,89.17,35.72,4.00,25.67,42.21,14.90,58.36,14.04,0.02,130.90,0.93
7/4/2022 8:00:00,79.83,37.25,4.00,25.82,43.59,14.96,61.35,13.53,0.02,198.41,0.68
7/4/2022 9:00:00,75.67,37.88,117.91,24.73,40.93,14.73,56.56,13.27,0.03,180.87,0.76
7/4/2022 10:00:00,87.33,35.44,"5,406.98",25.59,43.66,14.55,61.43,14.27,0.02,204.91,1.00
7/4/2022 11:00:00,100.00,29.89,"13,207.28",24.44,39.78,13.85,53.21,16.09,0.03,132.31,1.64
7/4/2022 12:00:00,100.00,25.85,"33,474.64",24.32,40.63,13.91,54.82,18.22,0.03,137.23,1.64
7/4/2022 13:00:00,100.00,24.63,"60,155.95",23.69,35.14,14.68,43.20,19.95,0.03,109.11,2.75
7/4/2022 14:00:00,100.00,23.48,"58,522.57",25.58,36.60,16.57,44.69,23.22,0.11,155.00,2.18
7/4/2022 15:00:00,100.00,22.67,"36,708.14",25.17,35.17,16.21,43.23,24.28,0.11,146.95,1.91
7/4/2022 16:00:00,100.00,19.97,"34,082.59",22.80,34.56,14.93,46.80,27.11,0.45,151.56,2.07
7/4/2022 17:00:00,100.00,20.21,"21,978.46",22.93,38.39,14.87,55.59,26.90,0.23,112.36,2.82
7/4/2022 18:00:00,100.00,19.84,"16,148.23",20.21,29.51,13.63,38.99,26.47,0.38,146.47,1.93
7/4/2022 19:00:00,100.00,19.93,"14,943.30",23.05,33.86,14.95,43.61,26.62,0.32,175.40,1.99
7/4/2022 20:00:00,100.00,33.09,"5,768.26",25.62,61.38,13.88,92.55,20.94,0.39,205.94,4.56
7/4/2022 21:00:00,100.00,33.79,"1,419.04",23.25,55.49,13.22,84.19,20.35,0.23,183.49,3.24
7/4/2022 22:00:00,100.00,34.40,72.60,22.66,37.05,14.36,50.56,19.48,0.02,173.30,2.41
7/4/2022 23:00:00,100.00,29.74,4.00,20.99,34.33,13.95,48.76,18.72,0.02,213.56,1.27
8/4/2022 0:00:00,100.00,27.62,2.00,18.27,25.77,12.74,32.79,18.09,0.02,214.53,1.56
8/4/2022 1:00:00,100.00,29.53,0.67,18.46,25.43,12.94,32.01,16.84,0.02,212.21,1.22
8/4/2022 2:00:00,100.00,32.75,0.00,19.06,28.89,12.70,38.50,16.23,0.02,197.95,1.09
8/4/2022 3:00:00,100.00,35.80,0.00,25.10,35.82,16.22,47.09,15.35,0.02,175.80,0.87
8/4/2022 4:00:00,100.00,35.35,1.33,20.33,30.85,12.63,41.13,15.38,0.02,174.67,1.11
8/4/2022 5:00:00,100.00,34.06,2.00,20.95,29.31,13.06,37.28,14.87,0.02,119.77,1.40
8/4/2022 6:00:00,94.00,36.49,2.00,20.82,29.72,12.82,38.38,13.57,0.02,144.73,0.96
8/4/2022 7:00:00,82.00,38.49,1.33,20.47,32.46,12.94,43.57,12.83,0.02,197.07,0.75
8/4/2022 8:00:00,76.33,38.67,0.67,20.64,32.03,12.90,42.43,12.90,0.01,155.54,1.20
8/4/2022 9:00:00,74.00,38.59,113.48,22.32,34.61,13.33,45.90,13.20,0.02,151.14,1.25
8/4/2022 10:00:00,77.67,39.29,"3,277.68",22.64,36.49,12.74,50.18,13.28,0.36,185.40,0.99
8/4/2022 11:00:00,96.00,34.03,"10,871.73",24.21,39.19,13.86,52.47,15.94,0.44,165.42,1.38
8/4/2022 12:00:00,100.00,29.05,"46,189.07",40.78,53.73,25.95,63.34,18.41,0.04,129.09,2.23
8/4/2022 13:00:00,100.00,25.32,"66,171.20",39.78,53.79,25.41,64.21,20.64,0.04,148.70,2.25
8/4/2022 14:00:00,100.00,22.56,"50,596.69",41.94,52.90,28.23,61.42,22.73,0.07,144.96,2.61
8/4/2022 15:00:00,100.00,17.14,"42,019.42",28.91,38.01,18.83,46.45,25.25,0.13,144.56,1.95
8/4/2022 16:00:00,100.00,15.23,"42,357.22",32.34,42.49,21.12,52.57,26.91,0.53,149.19,1.81
8/4/2022 17:00:00,100.00,14.93,"10,261.32",37.94,48.46,25.29,59.48,27.37,1.03,167.48,2.12
8/4/2022 18:00:00,100.00,14.78,"9,935.62",30.02,43.44,19.75,57.67,27.39,0.94,142.64,2.10
8/4/2022 19:00:00,100.00,15.24,"11,236.90",23.95,34.19,15.85,44.55,26.62,0.74,116.57,1.91
8/4/2022 20:00:00,100.00,15.60,"10,881.27",22.13,32.37,14.67,42.81,26.39,0.43,143.75,1.30
8/4/2022 21:00:00,100.00,20.20,"3,406.29",27.32,55.64,15.88,81.09,24.93,0.34,193.72,1.74
8/4/2022 22:00:00,100.00,26.43,68.52,39.47,139.47,16.94,222.11,21.36,0.02,178.90,2.48
8/4/2022 23:00:00,100.00,27.31,4.00,23.61,37.37,14.68,49.61,19.17,0.02,166.16,2.06
9/4/2022 0:00:00,100.00,28.95,4.00,22.84,35.78,14.43,47.75,18.31,0.02,154.63,1.03
9/4/2022 1:00:00,100.00,29.39,4.00,20.66,31.69,12.42,42.34,17.53,0.02,150.82,0.69
9/4/2022 2:00:00,100.00,30.15,4.00,22.46,32.63,13.88,41.66,17.15,0.02,177.12,1.27
9/4/2022 3:00:00,100.00,31.37,4.00,34.96,48.12,21.31,61.65,15.98,0.02,143.41,0.76
9/4/2022 4:00:00,100.00,33.26,4.00,47.52,61.69,27.61,76.01,15.59,0.02,137.72,0.48
9/4/2022 5:00:00,100.00,35.17,4.00,79.74,93.20,43.92,105.08,14.91,0.02,120.60,0.21
9/4/2022 6:00:00,100.00,34.58,4.00,65.19,75.28,38.60,83.96,14.48,0.02,68.40,0.49
9/4/2022 7:00:00,92.17,34.07,4.00,96.83,106.91,53.15,114.16,14.13,0.02,111.70,0.67
9/4/2022 8:00:00,81.83,37.33,3.33,42.41,51.93,25.58,60.90,13.26,0.02,135.91,0.51
9/4/2022 9:00:00,76.00,39.40,129.69,36.58,63.49,20.27,92.47,12.75,0.02,184.81,0.28
9/4/2022 10:00:00,78.00,38.09,"3,041.20",33.84,72.28,16.96,111.75,13.50,0.37,160.02,0.97
9/4/2022 11:00:00,95.17,34.38,"11,208.15",38.82,88.77,18.91,135.96,16.47,0.43,182.40,0.90
9/4/2022 12:00:00,100.00,27.31,"41,385.42",30.22,47.16,18.77,62.77,21.38,0.03,166.74,1.23
9/4/2022 13:00:00,100.00,26.05,"67,087.83",30.88,43.66,19.93,55.43,23.05,0.06,158.10,1.65
9/4/2022 14:00:00,100.00,23.71,"56,748.41",24.69,38.52,15.61,52.21,24.29,0.09,157.14,1.84
9/4/2022 15:00:00,100.00,20.52,"45,890.95",22.91,35.60,14.56,48.54,25.91,0.08,159.43,1.67
9/4/2022 16:00:00,100.00,20.05,"49,607.03",23.66,35.93,15.56,48.21,26.39,0.59,202.17,1.86
9/4/2022 17:00:00,100.00,19.97,"13,297.62",23.16,33.96,14.66,44.86,26.19,1.19,132.49,2.04
9/4/2022 18:00:00,100.00,18.00,"11,349.46",21.95,32.57,14.56,43.95,27.93,1.04,144.47,1.47
9/4/2022 19:00:00,100.00,20.05,"10,321.58",21.98,31.96,14.55,41.45,25.43,0.71,203.76,1.53
9/4/2022 20:00:00,100.00,19.27,"10,070.91",22.84,34.54,14.73,46.06,26.56,0.43,129.84,0.80
9/4/2022 21:00:00,100.00,23.44,"3,574.11",27.84,47.55,17.29,66.49,25.46,0.33,177.51,1.22
9/4/2022 22:00:00,100.00,29.69,68.99,28.71,66.14,15.69,97.59,21.91,0.02,185.02,2.46
9/4/2022 23:00:00,100.00,40.63,4.00,16.27,24.52,10.67,31.51,18.50,0.02,154.32,3.74
10/4/2022 0:00:00,100.00,39.15,4.00,20.07,29.52,13.45,37.16,18.57,0.02,171.15,2.29
10/4/2022 1:00:00,100.00,38.95,4.00,23.43,36.21,14.76,47.77,18.32,0.02,170.55,1.84
10/4/2022 2:00:00,100.00,40.08,4.00,23.35,35.52,14.64,47.06,17.75,0.02,201.82,0.95
10/4/2022 3:00:00,100.00,41.72,4.00,21.81,35.54,14.83,51.02,17.24,0.02,143.41,1.19
10/4/2022 4:00:00,100.00,42.57,1.33,23.83,70.40,14.61,130.28,16.87,0.02,191.95,0.75
10/4/2022 5:00:00,100.00,42.78,0.00,21.83,35.54,14.98,52.06,16.15,0.02,231.73,0.96
10/4/2022 6:00:00,100.00,43.27,0.00,20.46,29.98,13.47,38.81,15.58,0.02,186.62,0.84
10/4/2022 7:00:00,94.17,45.49,0.00,23.25,31.83,15.30,39.53,14.77,0.02,144.95,0.69
10/4/2022 8:00:00,82.83,46.51,0.00,23.03,30.95,14.52,37.91,14.26,0.02,124.32,0.99
10/4/2022 9:00:00,77.50,48.33,138.01,22.78,35.29,13.96,48.01,13.73,0.02,188.70,0.69
10/4/2022 10:00:00,79.83,46.72,"3,307.79",20.90,31.60,12.79,42.68,14.58,0.38,204.99,1.22
10/4/2022 11:00:00,96.00,43.45,"11,816.10",21.54,33.01,14.52,43.43,17.15,0.45,183.98,1.41
10/4/2022 12:00:00,100.00,38.17,"40,811.45",23.41,36.53,14.83,47.99,20.17,0.02,141.65,1.90
10/4/2022 13:00:00,100.00,33.43,"67,769.81",22.82,36.21,14.89,48.07,22.27,0.05,138.29,2.12
10/4/2022 14:00:00,100.00,28.30,"60,262.95",22.32,32.66,14.72,42.36,23.81,0.11,129.61,2.45
10/4/2022 15:00:00,100.00,24.76,"42,812.27",23.09,33.32,14.94,43.83,26.32,0.18,145.13,1.91
10/4/2022 16:00:00,100.00,22.80,"47,130.02",22.95,32.34,15.24,41.96,27.26,0.65,175.68,1.86
10/4/2022 17:00:00,100.00,22.47,"18,767.91",23.73,33.79,16.18,44.56,27.36,0.57,184.11,1.75
10/4/2022 18:00:00,100.00,21.26,"16,929.70",23.91,34.74,16.75,46.61,28.63,0.49,178.89,0.92
10/4/2022 19:00:00,100.00,21.97,"12,661.08",22.86,31.39,16.65,40.16,27.87,0.56,157.27,1.22
10/4/2022 20:00:00,100.00,30.46,"7,527.75",24.57,55.00,13.93,82.41,23.22,0.42,191.99,4.04
10/4/2022 21:00:00,100.00,31.74,"3,283.42",20.95,34.82,13.23,47.34,22.47,0.26,179.20,2.04
